slug,artist,album,critic_score,user_score,release_date,release_year,genres
6647-john-coltrane-giant-steps,John Coltrane,Giant Steps,95,86,January 27,1960,Hard Bop
6041-miles-davis-sketches-of-spain,Miles Davis,Sketches of Spain,96,83,July 18,1960,Third Stream
6654-charles-mingus-blues-roots,Charlie Mingus,Blues & Roots,90,84,March,1960,Post-Bop
7022-etta-james-at-last,Etta James,At Last!,100,81,November 15,1960,Soul|Rhythm and Blues|Soul Blues
21774-max-roach-we-insist,Max Roach,We Insist! Max Roach's Freedom Now Suite,93,82,December,1960,Avant-Garde Jazz
58214-bill-evans-portrait-in-jazz,Bill Evans Trio,Portrait in Jazz,95,80,February,1960,Cool Jazz
69673-wes-montgomery-the-incredible-jazz-guitar-of-wes-montgomery,Wes Montgomery,The Incredible Jazz Guitar of Wes Montgomery,100,81,April,1960,Hard Bop
6663-joan-baez-joan-baez,Joan Baez,Joan Baez,90,76,November 1,1960,Contemporary Folk
21707-elvis-presley-elvis-is-back,Elvis Presley,Elvis Is Back!,95,67,April 8,1960,Rock & Roll
62834-hank-mobley-soul-station,Hank Mobley,Soul Station,90,81,February 7,1960,Hard Bop
21705-ornette-coleman-change-of-the-century,Ornette Coleman,Change of the Century,100,77,June 3,1960,Avant-Garde Jazz
61139-the-everly-brothers-a-date-with-the-everly-brothers,The Everly Brothers,A Date with the Everly Brothers,85,64,October,1960,Rock & Roll|Teen Pop|Country Pop
67366-miriam-makeba-miriam-makeba,Miriam Makeba,Miriam Makeba,80,72,June 11,1960,Vocal Jazz|Folk Pop
62076-charles-mingus-charles-mingus-presents-charles-mingus,Charles Mingus,Charles Mingus Presents Charles Mingus,95,73,December,1960,Avant-Garde Jazz
77373-charles-mingus-mingus-dynasty,Charles Mingus and His Jazz Groups,Mingus Dynasty,95,75,April 11,1960,Post-Bop
88019-joao-gilberto-o-amor-o-sorriso-e-a-flor,João Gilberto,"O Amor, o Sorriso e a Flor",90,78,,1960,Bossa Nova
